source_uid,station_id,source_name,descriptionDataset,data_repository_ftp,wmo_id,station_name,lat,lon,elev, fips_code,country,continent,station_data_policy,station_data_type,data_update_status,station_metadata_link,timestep,ver,obs_freq,obs_time_GMT,Wind_speed _start_date,Wind_speed _end_date,Wind_speed _start_year,Wind_speed _end_year,Wind_direction_start_year,Wind_direction_end_year,Sea_Level_Pressure _start_year,Sea_Level_Pressure_end_year
1000220,2907,World_Meterological_Organisation_WMO_WIGOS_USAF,WMO_USAF_Sub_Daily_data_Global,hard disk from USAF via NOAA_NCEI,0-20000-0-2907,KALAJOKIULKOKALLA,64.333333,23.45,5,FI,Finland,Europe,WMO Resolution 40,raw,NA,NA,sbdy ,NA,"hourly, 3hourly,6hourly,12hourly",NA,01/01/1901,05/02/2017,1901,2017,01/01/1901,05/02/2017,01/01/1901,05/02/2017
1000220,2950,World_Meterological_Organisation_WMO_WIGOS_USAF,WMO_USAF_Sub_Daily_data_Global,hard disk from USAF via NOAA_NCEI,0-20000-0-2950,PARAINENFAGERHOLM,60.116666,21.7,4.5,FI,Finland,Europe,WMO Resolution 40,raw,NA,NA,sbdy ,NA,"hourly, 3hourly,6hourly,12hourly",NA,01/01/1901,05/02/2017,1901,2017,01/01/1901,05/02/2017,01/01/1901,05/02/2017
1000220,2960,World_Meterological_Organisation_WMO_WIGOS_USAF,WMO_USAF_Sub_Daily_data_Global,hard disk from USAF via NOAA_NCEI,0-20000-0-2960,RAIJALA,61.183,22.617,51,FI,Finland,Europe,WMO Resolution 40,raw,NA,NA,sbdy ,NA,"hourly, 3hourly,6hourly,12hourly",NA,01/01/1901,31/12/1905,1901,1905,01/01/1901,31/12/1905,01/01/1901,31/12/1905
1000220,2981,World_Meterological_Organisation_WMO_WIGOS_USAF,WMO_USAF_Sub_Daily_data_Global,hard disk from USAF via NOAA_NCEI,0-20000-0-2981,PARAINENUTO,59.77909,21.37479,6.8,FI,Finland,Europe,WMO Resolution 40,raw,NA,NA,sbdy ,NA,"hourly, 3hourly,6hourly,12hourly",NA,01/01/1901,05/02/2017,1901,2017,01/01/1901,05/02/2017,01/01/1901,05/02/2017
1000220,22707,World_Meterological_Organisation_WMO_WIGOS_USAF,WMO_USAF_Sub_Daily_data_Global,hard disk from USAF via NOAA_NCEI,0-20000-0-22707,VYARTSILYA,63.44,48.9,102,RU,Russian Federation,Europe,WMO Resolution 40,raw,NA,NA,sbdy ,NA,"hourly, 3hourly,6hourly,12hourly",NA,01/01/1901,14/08/2001,1901,2001,01/01/1901,14/08/2001,01/01/1901,14/08/2001
1000223,EFTU    , International_Civil_Aviation_Organisation_USAF,ICAO_USAF_Sub_Daily_data_Global,hard disk from USAF via NOAA_NCEI,,TURKU,60.514142,22.262808,49.07,FI,Finland,Europe,WMO Resolution 40,raw,NA,NA,sbdy ,NA,"hourly, 3hourly,6hourly,12hourly",NA,01/01/1901,05/02/2017,1901,2017,367,42771,01/01/1901,09/12/2010
1000220,2982,World_Meterological_Organisation_WMO_WIGOS_USAF,WMO_USAF_Sub_Daily_data_Global,hard disk from USAF via NOAA_NCEI,0-20000-0-2982,HANKORUSSARO,59.77361,22.95194,6.5,FI,Finland,Europe,WMO Resolution 40,raw,NA,NA,sbdy ,NA,"hourly, 3hourly,6hourly,12hourly",NA,01/01/1906,05/02/2017,1906,2017,01/01/1906,05/02/2017,01/01/1906,05/02/2017
1000220,22892,World_Meterological_Organisation_WMO_WIGOS_USAF,WMO_USAF_Sub_Daily_data_Global,hard disk from USAF via NOAA_NCEI,0-20000-0-22892,VYBORG,60.716666,28.733333,13,RU,Russian Federation,Europe,WMO Resolution 40,raw,NA,NA,sbdy ,NA,"hourly, 3hourly,6hourly,12hourly",NA,01/01/1906,05/02/2017,1906,2017,01/01/1906,05/02/2017,01/01/1906,05/02/2017
1000223,EFKU    , International_Civil_Aviation_Organisation_USAF,ICAO_USAF_Sub_Daily_data_Global,hard disk from USAF via NOAA_NCEI,,KUOPIO,63.00715,27.797756,98.45,FI,Finland,Europe,WMO Resolution 40,raw,NA,NA,sbdy ,NA,"hourly, 3hourly,6hourly,12hourly",NA,01/01/1906,05/02/2017,1906,2017,2194,42771,01/01/1906,05/02/2017
1000223,EFOU    , International_Civil_Aviation_Organisation_USAF,ICAO_USAF_Sub_Daily_data_Global,hard disk from USAF via NOAA_NCEI,,OULU,64.930061,25.354564,14.32,FI,Finland,Europe,WMO Resolution 40,raw,NA,NA,sbdy ,NA,"hourly, 3hourly,6hourly,12hourly",NA,01/01/1906,05/02/2017,1906,2017,2193,42771,01/01/1906,09/12/2010
1000223,EFTP    , International_Civil_Aviation_Organisation_USAF,ICAO_USAF_Sub_Daily_data_Global,hard disk from USAF via NOAA_NCEI,,TAMPEREPIRKKALA,61.414147,23.604392,118.87,FI,Finland,Europe,WMO Resolution 40,raw,NA,NA,sbdy ,NA,"hourly, 3hourly,6hourly,12hourly",NA,01/01/1906,05/02/2017,1906,2017,2193,42771,01/01/1906,05/02/2017
